ONE	2148983086
WOULD	1472811049
MAY	1318050430
TIME	1167810273
NEW	1073292865
ALSO	1038616504
TWO	1034082956
FIRST	923189150
COULD	886891028
SEE	846494292
SAID	757996425
MADE	737658132
MANY	732675942
LIKE	709849832
EVEN	677507335
WELL	675415316
MUST	662994536
PEOPLE	658716166
WORK	621797228
MAN	609019192
LIFE	607266209
MUCH	601262291
YEARS	563247544
WAY	559785767
GREAT	557149997
STATE	553386027
USE	535798133
UPON	532434413
USED	524065144
HOWEVER	519207264
US	516975345
PART	515815125
GOOD	509939542
WORLD	505870068
MAKE	502804979
THREE	487787199
LONG	477333877
DAY	471012276
WITHOUT	465581954
MEN	454094525
GENERAL	450612588
ANOTHER	444695376
LITTLE	442854872
FOUND	436617767
SYSTEM	428655277
DE	424296592
NUMBER	421670920
CASE	416258729
MIGHT	409560494
STILL	408263128
BACK	406548203
RIGHT	405717045
KNOW	405542218
PLACE	401396238
EVERY	393306866
GOVERNMENT	390643826
HIGH	384098421
OLD	383853789
DIFFERENT	381761001
STATES	379406076
TAKE	378659319
YEAR	377400785
POWER	374440251
SINCE	371590865
GIVEN	370958373
GOD	368677508
NEVER	367408537
SOCIAL	362939226
ORDER	360669813
WATER	355340324
THUS	352803269
FORM	352032932
WITHIN	351785120
SMALL	350484848
SHALL	343397728
PUBLIC	342759195
LARGE	342399659
LAW	338265440
COME	337666242
LESS	337388744
CHILDREN	336723802
WAR	335494566
POINT	333858038
CALLED	329762185
AMERICAN	329409247
OFTEN	325385700
GO	323996019
AMONG	321351351
IMPORTANT	318798581
END	318429766
GET	318321184
HOUSE	316642686
SECOND	316484908
THOUGH	315756488
PRESENT	313754008
EXAMPLE	313505718
WOMEN	311778830
LAST	310248709
SAY	310063047
LEFT	306802162
FACT	303323018
SET	302361340
PER	300402417
YET	298106656
HAND	297264744
CAME	294530569
DEVELOPMENT	292567752
THOUGHT	292090261
ALWAYS	289326176
FAR	288760391
COUNTRY	287858905
YORK	287117910
SCHOOL	286198020
INFORMATION	285127664
GROUP	284672959
FOLLOWING	282890287
THINK	282298331
OTHERS	280160469
POLITICAL	279042950
HUMAN	279027691
HISTORY	277771947
UNITED	275947752
GIVE	275807450
FAMILY	275638251
FIND	274292734
NEED	273479350
FIGURE	273002399
POSSIBLE	272346265
ALTHOUGH	269984217
RATHER	269938951
LATER	269420608
UNIVERSITY	267605414
